module,kind,d_out,d_in,tightest_winner,loosest_winner,epsilon_star,crossover_count,mean_log2_swd_over_svd,swd_points_won_by_svd,comparable_swd_points,unique_support_fraction,mean_paired_jaccard
h.0.attn.q_proj,attn.q_proj,768,768,swd,swd,,0,-1.3723749423959635,0,12,0.51953125,0.18852605727605726
h.0.attn.k_proj,attn.k_proj,768,768,swd,swd,,0,-1.369336754637736,0,12,0.51953125,0.20371919746919748
h.0.attn.v_proj,attn.v_proj,768,768,swd,swd,,0,-1.4054494522231664,0,12,0.51953125,0.08625193498452013
h.0.attn.o_proj,attn.o_proj,768,768,swd,swd,,0,-1.3368025156394183,0,12,0.99609375,0.2747923281192921
h.0.mlp.c_fc,mlp.c_fc,3072,768,svd_omp,svd_omp,,0,0.25456822468977647,12,12,0.9296875,0.19470348292479045
h.0.mlp.down_proj,mlp.down_proj,768,3072,svd_omp,swd,0.25449750524834347,1,0.15469666926231485,9,12,0.98828125,0.18806781989631716
h.1.attn.q_proj,attn.q_proj,768,768,swd,swd,,0,-1.512378928729594,0,12,0.796875,0.46849643412143405
h.1.attn.k_proj,attn.k_proj,768,768,swd,swd,,0,-1.5570253906674245,0,12,0.8984375,0.29271145521145525
h.1.attn.v_proj,attn.v_proj,768,768,swd,swd,,0,-1.5116046055689267,0,12,0.984375,0.09673300515381592
h.1.attn.o_proj,attn.o_proj,768,768,swd,swd,,0,-1.3193937115138963,0,12,1.0,0.3774072605402423
h.1.mlp.c_fc,mlp.c_fc,3072,768,svd_omp,svd_omp,,0,0.27312071659226245,12,12,0.96484375,0.34597861423277443
h.1.mlp.down_proj,mlp.down_proj,768,3072,svd_omp,swd,0.027676532601145602,1,-0.4156412639398889,3,12,1.0,0.21101953698839632
h.2.attn.q_proj,attn.q_proj,768,768,swd,swd,,0,-1.2952749528486058,0,12,0.98828125,0.3138621794871794
h.2.attn.k_proj,attn.k_proj,768,768,swd,swd,,0,-1.3457314919246697,0,12,1.0,0.29920912420912427
h.2.attn.v_proj,attn.v_proj,768,768,swd,swd,,0,-1.456346732282721,0,12,0.99609375,0.02921826625386997
h.2.attn.o_proj,attn.o_proj,768,768,swd,swd,,0,-1.3761171210736827,0,12,1.0,0.26984868993987604
h.2.mlp.c_fc,mlp.c_fc,3072,768,svd_omp,svd_omp,,0,0.29824745252217244,12,12,0.98828125,0.30688151905499045
h.2.mlp.down_proj,mlp.down_proj,768,3072,svd_omp,svd_omp,,0,0.24583840463988976,12,12,0.99609375,0.10932707107442517
h.3.attn.q_proj,attn.q_proj,768,768,swd,swd,,0,-1.3228771020586167,0,12,0.99609375,0.29463175713175715
h.3.attn.k_proj,attn.k_proj,768,768,swd,swd,,0,-1.3578243740086084,0,12,0.98046875,0.2994227994227994
h.3.attn.v_proj,attn.v_proj,768,768,swd,swd,,0,-1.4203145320632518,0,12,1.0,0.06414675245098038
h.3.attn.o_proj,attn.o_proj,768,768,swd,swd,,0,-1.184440181042369,0,12,1.0,0.4136739069861167
h.3.mlp.c_fc,mlp.c_fc,3072,768,svd_omp,svd_omp,,0,0.39729567283798406,12,12,0.98046875,0.39576065381986436
h.3.mlp.down_proj,mlp.down_proj,768,3072,svd_omp,svd_omp,,0,0.3824336281839794,12,12,0.98828125,0.3819967675835516
