module,family,selected_units,winner,svd_relative_error,swd_relative_error,svd_mean_active_edges,swd_mean_active_edges,swd_best_sparsity,swd_error_over_svd,svd_edges_over_swd
h.0.attn.q_proj,attention,1,svd_omp,0.6955935955047607,0.8091884255409241,1536,720.12841796875,0.82,1.1633063196243674,2.1329529035009624
h.0.attn.q_proj,attention,2,svd_omp,0.5969769954681396,0.7480234503746033,3072,1160.537109375,0.82,1.2530188869137502,2.6470502107893874
h.0.attn.q_proj,attention,4,svd_omp,0.5259645581245422,0.6954526305198669,6144,1702.95361328125,0.82,1.3222423826420484,3.6078492990550366
h.0.attn.q_proj,attention,8,svd_omp,0.46746188402175903,0.6540858745574951,12288,2522.56494140625,0.82,1.399228251360595,4.871232370790751
h.0.attn.q_proj,attention,12,svd_omp,0.4350079894065857,0.6305134296417236,18432,3242.34130859375,0.82,1.4494295392179712,5.684780917772726
h.0.attn.q_proj,attention,16,svd_omp,0.4107830226421356,0.6120516061782837,24576,3945.43994140625,0.82,1.4899632468781177,6.2289631485913635
h.0.attn.q_proj,attention,24,svd_omp,0.37432268261909485,0.5814579129219055,36864,5315.4150390625,0.82,1.5533600818777749,6.935300391237528
h.0.attn.q_proj,attention,32,svd_omp,0.3468411862850189,0.5564594864845276,49152,6657.01171875,0.82,1.6043639235717915,7.383493086178518
h.0.attn.q_proj,attention,48,svd_omp,0.30506643652915955,0.5155383944511414,73728,9329.6357421875,0.82,1.6899217112068767,7.9025593321517125
h.0.attn.q_proj,attention,64,svd_omp,0.2729089558124542,0.4823903739452362,98304,11954.37890625,0.82,1.7675871885887824,8.223262853798671
h.0.attn.k_proj,attention,1,svd_omp,0.6864282488822937,0.8387247920036316,1536,594.892578125,0.82,1.221868117125601,2.5819787579821725
h.0.attn.k_proj,attention,2,svd_omp,0.6178520321846008,0.7678430676460266,3072,1126.39990234375,0.82,1.2427620654270368,2.7272729637209254
h.0.attn.k_proj,attention,4,svd_omp,0.5580863356590271,0.7199031114578247,6144,1778.59033203125,0.82,1.289949359909902,3.45442111617868
h.0.attn.k_proj,attention,8,svd_omp,0.5006617307662964,0.6774860620498657,12288,2638.69970703125,0.82,1.3531812407809318,4.656839111800634
h.0.attn.k_proj,attention,12,svd_omp,0.4665321409702301,0.6518297791481018,18432,3353.57080078125,0.82,1.397180862592907,5.496231060845971
h.0.attn.k_proj,attention,16,svd_omp,0.4418003559112549,0.6321312785148621,24576,4048.36181640625,0.82,1.4308075357047454,6.0706036452582275
h.0.attn.k_proj,attention,24,svd_omp,0.40397974848747253,0.6002875566482544,36864,5332.45849609375,0.81,1.4859347749380298,6.913133975070679
h.0.attn.k_proj,attention,32,svd_omp,0.3749043941497803,0.5740140080451965,49152,6595.71337890625,0.81,1.5310943723318131,7.452112785433188
h.0.attn.k_proj,attention,48,svd_omp,0.33023181557655334,0.5317086577415466,73728,9071.8466796875,0.81,1.6101073023906975,8.127121478483774
h.0.attn.k_proj,attention,64,svd_omp,0.29530689120292664,0.497479110956192,98304,11530.2783203125,0.81,1.68461734478908,8.525726549620332
h.0.attn.v_proj,attention,1,svd_omp,0.9025110602378845,0.9707516431808472,1536,197.19091796875,0.82,1.0756119076534927,7.789405393626795
h.0.attn.v_proj,attention,2,svd_omp,0.8485406041145325,0.9533208012580872,3072,381.58544921875,0.82,1.1234828323305692,8.050621443478907
h.0.attn.v_proj,attention,4,svd_omp,0.789298951625824,0.9299195408821106,6144,740.09765625,0.82,1.1781588445881395,8.301607156994695
h.0.attn.v_proj,attention,8,svd_omp,0.7309695482254028,0.8989468216896057,12288,1410.71875,0.82,1.229800644735484,8.710453447932126
h.0.attn.v_proj,attention,12,svd_omp,0.6944130659103394,0.8756344318389893,18432,2048.10595703125,0.82,1.2609705589152158,8.999534392604065
h.0.attn.v_proj,attention,16,svd_omp,0.6649500131607056,0.8560718297958374,24576,2688.57568359375,0.82,1.287422833073832,9.14089945466958
h.0.attn.v_proj,attention,24,svd_omp,0.6179632544517517,0.8233723044395447,36864,3961.5078125,0.82,1.3323968674642783,9.30554772192564
h.0.attn.v_proj,attention,32,svd_omp,0.5802933573722839,0.7877503037452698,49152,17651.517578125,0.3,1.3575035690782395,2.7845764412297678
h.0.attn.v_proj,attention,48,svd_omp,0.5206087827682495,0.7249799966812134,73728,26313.794921875,0.3,1.3925619787400711,2.801876362527586
h.0.attn.v_proj,attention,64,svd_omp,0.4734818637371063,0.6719966530799866,98304,34972.98046875,0.3,1.4192658780550518,2.81085565720769
h.0.attn.o_proj,attention,1,svd_omp,0.5719313621520996,0.927044153213501,1536,457.41943359375,0.82,1.6209010635911982,3.3579683922309576
h.0.attn.o_proj,attention,2,svd_omp,0.5301205515861511,0.8744007349014282,3072,854.2294921875,0.82,1.6494375331897075,3.596223296076165
h.0.attn.o_proj,attention,4,svd_omp,0.4883453845977783,0.7951445579528809,6144,1570.41357421875,0.82,1.6282421888921816,3.9123451941992538
h.0.attn.o_proj,attention,8,svd_omp,0.4428061544895172,0.6885770559310913,12288,2919.3291015625,0.82,1.5550304550868486,4.209186279622653
h.0.attn.o_proj,attention,12,svd_omp,0.41346409916877747,0.6211743354797363,18432,4233.16796875,0.82,1.502365832314188,4.354185833415614
