module,family,selected_units,svd_foba_relative_error,svd_relative_error,swd_relative_error,svd_error_over_foba,swd_error_over_foba,relative_error_reduction_vs_svd,fraction_inputs_improved,mean_accepted_swaps,swd_best_sparsity
h.0.attn.q_proj,attention,1,0.511630117893219,0.6916005611419678,0.8211830854415894,1.351758891735748,1.6050327311125503,0.260223101831471,0.638671875,0.55078125,0.82
h.0.attn.q_proj,attention,2,0.4697723388671875,0.5975781083106995,0.7615033388137817,1.2720589504092636,1.621005060983532,0.21387291078116566,0.71630859375,0.83837890625,0.82
h.0.attn.q_proj,attention,4,0.45126113295555115,0.5262913107872009,0.7018734216690063,1.1662677601774318,1.5553597915071058,0.14256396845964125,0.75634765625,0.90283203125,0.82
h.0.attn.q_proj,attention,8,0.4229264557361603,0.46759480237960815,0.6589826345443726,1.1056172912278486,1.5581494739961934,0.09552789384340654,0.6884765625,0.83349609375,0.82
h.0.attn.q_proj,attention,12,0.40299054980278015,0.435260146856308,0.6343365907669067,1.0800753195560548,1.5740731167947863,0.07413864395028325,0.541015625,0.66552734375,0.82
h.0.attn.q_proj,attention,16,0.38539209961891174,0.41124287247657776,0.6154578924179077,1.06707655108454,1.5969655138921959,0.06286011159777205,0.52099609375,0.58544921875,0.82
h.0.attn.q_proj,attention,24,0.35706931352615356,0.3746735751628876,0.5846367478370667,1.049302084973047,1.637320054371586,0.04698559707361438,0.41552734375,0.4453125,0.82
h.0.attn.q_proj,attention,32,0.33397790789604187,0.346981942653656,0.5593310594558716,1.0389368112386101,1.6747546655989471,0.03747755476311421,0.4375,0.38720703125,0.82
h.0.attn.q_proj,attention,48,0.2957022190093994,0.30457863211631775,0.518091082572937,1.0300180808133745,1.7520703236808264,0.02914325619378466,0.33984375,0.2314453125,0.82
h.0.attn.q_proj,attention,64,0.2654411196708679,0.27193912863731384,0.48430100083351135,1.0244800390177042,1.8245138561576948,0.023895086371010454,0.3271484375,0.189453125,0.76
